"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","category_senti","sent.value"
"436","way to win sweepstakes cause ya girl THIRSTYY for thing ty",FALSE,0,"microsoftcanada",2018-12-11 21:13:08,FALSE,"1070338511239290880","1072600192413822978","19559116","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","NeoTheLazyDog",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Positive",0.5
"442","as if we didnt already thinkwas great adaptivedesign inclusivedesign disability",FALSE,0,NA,2018-12-11 21:11:13,FALSE,NA,"1072599710186250241",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SolutionsMktg",0,FALSE,FALSE,NA,NA,0,0,0,0,0,1,0,0,1,0,"Negative",-0.3
"446","Pfffffft no But perhaps shifting from a materialistic wasteful over producing archaic ca…",FALSE,0,"thesheepoleon",2018-12-11 21:10:33,TRUE,"1072575623212736513","1072599541600403463","131649303","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","benlat",0,FALSE,FALSE,NA,NA,1,0,1,0,0,1,0,0,2,1,"Negative",-0.4
"448","their silence on this issue is deafening",FALSE,1,"samf1sh",2018-12-11 21:09:53,FALSE,"1072557273896153088","1072599375451488256","368107795","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bert3GS",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Negative",-1
"451","hi there It’s particularly support for having our own domain not an…",FALSE,1,"marypcbuk",2018-12-11 21:06:48,TRUE,"1072595817972883457","1072598600331550721","109323518","<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>","mylescarrick",1,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Positive",0.5
"453","Because Google are behind Blink the rendering engine behind Chrome As the primary co…",FALSE,0,"percept",2018-12-11 21:05:53,TRUE,"1072247787872534528","1072598367140802565","1263251","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SBRLabs",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1,"Positive",0.6
"456","Thanksfor sharing It was lovely to meet you andatMet with…",FALSE,4,NA,2018-12-11 21:05:08,TRUE,NA,"1072598180984967168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","joysyj",0,FALSE,FALSE,NA,NA,0,1,0,0,1,1,1,1,0,1,"Positive",0.75
"457","great to hear of you andin your pocketlink on BBCInTouch and link up with…",FALSE,1,"BeMyEyes",2018-12-11 21:04:59,TRUE,NA,"1072598142590300160","1278698569","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","andyjb",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Positive",0.5
"463","A massive global spearphishing campaign launched on Novemberputting authorities on noticeshared…",FALSE,0,NA,2018-12-11 21:01:13,TRUE,NA,"1072597191498317824",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","D3P",1,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Positive",0.65
"464","ThroughoutPowerBI team published some really cool Power BI reports Heres an indepth walk…",FALSE,0,NA,2018-12-11 21:00:54,TRUE,NA,"1072597112506986503",NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","enlightendesign",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,1,0,1,"Positive",0.75
"466","Looking for a businessclass email solutionblocksmillion spam and malevolent email messages every…",FALSE,0,NA,2018-12-11 21:00:06,TRUE,NA,"1072596914070306816",NA,"<a href=""http://www.contentmx.com"" rel=""nofollow"">ContentMX</a>","summitbri",0,FALSE,FALSE,NA,NA,1,0,1,1,0,1,0,0,1,0,"Negative",-0.75
"467","AWS Outposts shaped by onprem forerunner fromat",FALSE,0,NA,2018-12-11 21:00:01,FALSE,NA,"1072596892918308864",NA,"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>","bluepensoftware",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1,"Neutral",0
"468","breathes again after potential breach",FALSE,0,NA,2018-12-11 21:00:00,FALSE,NA,"1072596888824762369",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","techhq",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,1,0,"Negative",-0.75
"470","How many updates can there possibly be for BO EVERY TIME I turn on my fucking Xbox there’s a massive update What…",FALSE,0,NA,2018-12-11 20:58:32,TRUE,NA,"1072596519143071756",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ibespinyG",0,FALSE,FALSE,NA,NA,0,1,0,0,0,0,0,0,0,0,"Negative",-1
"473","Office Homeis year forpeople or month using…",FALSE,0,"mylescarrick",2018-12-11 20:55:45,TRUE,"1072556564249239552","1072595817972883457","14894598","<a href=""http://www.tweetiumapp.com"" rel=""nofollow"">Tweetium for Windows</a>","marypcbuk",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
"477","Sincefired him hes tried to find other lines of work Heres his attempt at standup comedy

Voice…",FALSE,0,NA,2018-12-11 20:54:09,TRUE,NA,"1072595413738418177",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VegaZaccary",0,FALSE,FALSE,NA,NA,0,1,0,1,0,0,0,0,0,0,"Positive",0.75
"479","Daaaamn Congrats Man",FALSE,2,"Jadenbanson",2018-12-11 20:53:27,FALSE,"1072583311896338438","1072595238231961601","1849975478","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kaitlynbryan21",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Positive",1
"483","Visiting Amy Hoodlast week in Seattle we saw first hand what a great job they have doneHuge congratu…",FALSE,0,NA,2018-12-11 20:52:08,TRUE,NA,"1072594906873507840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","burger_bas",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1,"Positive",0.5
"485","Absolutely now we just need lawyers to adopt the technology",FALSE,0,"BradSmi",2018-12-11 20:51:25,FALSE,"1072204301282484225","1072594727273418753","14505546","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LarissaVKruzel",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1,"Positive",0.6
"489","I have no idea what’s going on
<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E65><U+653C><U+3E64><U+623C><U+3E35><U+623C><U+3E34>",FALSE,0,"patricekrakow",2018-12-11 20:51:00,FALSE,"1072574448337936384","1072594621371420672","271860152","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Gareth_Whittle",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
